BX = 000 Event : 1
0 0 0000101|100|011|010 0x0B1A
0 1 0000110|100|101|010 0x0D2A
0 2 0000111|001|011|010 0x0E5A
0 3 0001000|100|100|010 0x1122
0 4 0001010|001|000|001 0x1441
1 0 0010010|100|011|100 0x251C
1 1 0010011|100|011|100 0x271C
1 2 0010110|110|101|010 0x2DAA
1 3 0010111|010|101|110 0x2EAE
1 4 0011000|010|011|110 0x309E
1 5 0011010|000|011|100 0x341C
2 0 0011100|110|100|000 0x39A0
4 0 0100101|100|010|011 0x4B13
4 1 0101000|001|000|001 0x5041
4 2 0101101|001|001|110 0x5A4E
4 3 0101110|100|100|110 0x5D26
5 0 0110001|001|010|001 0x6251
5 1 0110010|100|011|011 0x651B
5 2 0110011|110|011|010 0x679A
BX = 001 Event : 2
0 0 0001101|001|100|100 0x1A64
0 1 0010011|010|100|100 0x26A4
0 2 0010100|001|101|100 0x286C
1 0 0011001|010|001|000 0x3288
1 1 0011010|101|001|000 0x3548
1 2 0011110|101|100|110 0x3D66
1 3 0011111|001|100|110 0x3E66
2 0 0100111|100|110|110 0x4F36
3 0 0101010|100|001|010 0x550A
4 0 0110101|100|100|001 0x6B21
4 1 0110111|100|110|010 0x6F32
5 0 1000010|001|101|100 0x846C
5 1 1000011|010|011|001 0x8699
5 2 1000100|000|100|001 0x8821
5 3 1000101|101|111|111 0x8B7F
5 4 1000111|000|001|101 0x8E0D
6 0 1001011|110|011|011 0x979B
6 1 1001100|101|011|110 0x995E
6 2 1001101|000|011|101 0x9A1D
6 3 1001110|001|010|101 0x9C55
6 4 1001111|011|101|110 0x9EEE
BX = 010 Event : 3
0 0 0001011|000|000|001 0x1601
0 1 0001101|001|001|110 0x1A4E
1 0 0011110|101|101|111 0x3D6F
3 0 0100100|110|101|001 0x49A9
4 0 0101011|100|101|100 0x572C
4 1 0101101|001|110|010 0x5A72
4 2 0101110|100|100|010 0x5D22
4 3 0110011|110|100|100 0x67A4
5 0 1000011|101|011|011 0x875B
6 0 1000111|100|001|011 0x8F0B
BX = 011 Event : 4
0 0 0001001|001|110|010 0x1272
0 1 0001011|101|011|110 0x175E
1 0 0011001|000|000|110 0x3206
4 0 0101000|100|111|010 0x513A
4 1 0101001|000|101|001 0x5229
4 2 0101010|100|111|010 0x553A
4 3 0101101|010|010|111 0x5A97
4 4 0110000|100|000|110 0x6106
4 5 0111000|001|001|111 0x704F
5 0 0110101|110|110|000 0x6BB0
5 1 0111010|100|111|001 0x7539
6 0 0111110|110|100|000 0x7DA0
BX = 100 Event : 5
0 0 0000101|001|010|100 0x0A54
0 1 0000110|001|011|011 0x0C5B
0 2 0001000|000|100|001 0x1021
0 3 0001010|000|011|011 0x141B
0 4 0001011|100|100|001 0x1721
2 0 0011000|110|111|000 0x31B8
2 1 0011100|111|101|110 0x39EE
4 0 0101010|101|110|110 0x5576
4 1 0101011|010|111|110 0x56BE
4 2 0101101|000|010|100 0x5A14
BX = 101 Event : 6
0 0 0001000|000|101|100 0x102C
0 1 0001010|100|110|100 0x1534
0 2 0001100|001|011|010 0x185A
0 3 0010000|000|011|110 0x201E
0 4 0010001|101|011|110 0x235E
0 5 0010011|100|110|100 0x2734
0 6 0011010|001|111|111 0x347F
1 0 0011100|001|000|110 0x3846
4 0 0111001|001|010|010 0x7252
4 1 0111100|001|101|100 0x786C
4 2 0111101|000|010|010 0x7A12
4 3 0111111|101|001|110 0x7F4E
4 4 1000010|101|011|101 0x855D
4 5 1000100|101|011|101 0x895D
4 6 1000110|100|111|100 0x8D3C
4 7 1000111|101|111|100 0x8F7C
5 0 1001100|110|111|100 0x99BC
5 1 1001101|001|011|100 0x9A5C
5 2 1010000|110|101|111 0xA1AF
5 3 1010011|101|001|101 0xA74D
6 0 1011110|010|101|101 0xBCAD
6 1 1011111|010|100|100 0xBEA4
7 0 1100011|101|110|010 0xC772
7 1 1100100|011|110|010 0xC8F2
BX = 110 Event : 7
0 0 0001101|001|000|100 0x1A44
0 1 0001110|100|010|011 0x1D13
0 2 0001111|100|000|010 0x1F02
0 3 0010000|001|001|010 0x204A
1 0 0011000|010|001|001 0x3089
1 1 0011100|001|100|100 0x3864
1 2 0011110|010|101|010 0x3CAA
1 3 0011111|010|100|010 0x3EA2
1 4 0100000|001|010|111 0x4057
1 5 0100010|100|111|110 0x453E
2 0 0100101|100|110|111 0x4B37
2 1 0100110|100|110|111 0x4D37
3 0 0101000|000|110|000 0x5030
3 1 0101001|100|111|000 0x5338
